Date,Total enabled membership,Enabled full members,Enabled guests,Daily active members,Daily members posting messages,Weekly active members,Weekly members posting messages,Messages in public channels,Messages in private channels,Messages in shared channels,Messages in DMs,"Percentage of messages, public channels","Percentage of messages, private channels","Percentage of messages, DMs","Percentage of views, public channels","Percentage of views, private channels","Percentage of views, DMs",Total full members,Total guests,Total claimed full members,Total claimed guests,Total members,Total claimed members,Name,"Public channels, single-workspace",Messages posted
05/11/2019,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0.25,0.75,0,10,0,3,0,10,3,0,3,1
06/11/2019,11,11,0,10,7,10,7,21,36,0,0,0.3684,0.6316,0,0.4023,0.5195,0.0781,16,0,11,0,16,11,0,5,70
07/11/2019,15,15,0,11,10,13,11,19,21,0,6,0.413,0.4565,0.1304,0.5,0.4045,0.0955,17,0,15,0,17,15,0,7,117
08/11/2019,15,15,0,7,5,13,11,38,0,0,24,0.6129,0,0.3871,0.6769,0.0564,0.2667,17,0,15,0,17,15,0,10,183
09/11/2019,15,15,0,6,4,14,11,42,5,0,2,0.8571,0.102,0.0408,0.8643,0.0857,0.05,17,0,15,0,17,15,0,9,229
10/11/2019,15,15,0,1,0,14,11,0,0,0,0,0,0,0,0,1,0,17,0,15,0,17,15,0,9,228
11/11/2019,15,15,0,11,7,15,12,12,13,0,1,0.4615,0.5,0.0385,0.5401,0.3796,0.0803,18,0,15,0,18,15,0,9,259
12/11/2019,15,15,0,10,8,15,13,9,10,0,1,0.45,0.5,0.05,0.3465,0.5347,0.1188,18,0,15,0,18,15,0,10,280
13/11/2019,16,16,0,8,5,14,13,0,6,0,1,0,0.8571,0.1429,0.3077,0.6154,0.0769,18,0,16,0,18,16,0,10,288
14/11/2019,16,16,0,8,4,14,11,0,3,0,1,0,0.75,0.25,0.3462,0.5769,0.0769,18,0,16,0,18,16,0,10,293
15/11/2019,16,16,0,6,0,14,11,0,0,0,0,0,0,0,0.3125,0.5625,0.125,18,0,16,0,18,16,0,10,293
